  3011 44.22555 10.77194 -9999  1020	 5
  3012 44.19944 10.58944 -9999   850	 5
  3013 44.31694 10.81166 -9999   650	 5
  3014 44.64305  9.50000 -9999   650	 7
  3015 44.63000  9.73138 -9999   645	 7
  3016 44.50555  9.63250 -9999   500	 7
  3017 44.43694 10.40777 -9999   650	 5
  3018 44.29361 10.57500 -9999  1050	 5
  3019 44.36194 10.20083 -9999  1050	 5
  3020 44.42666 10.17305 -9999   650	 5
  3021 44.40583 10.01472 -9999  1350	 7
  3022 44.47777 10.05833 -9999   650	 7
  3023 44.80416 10.33333 -9999     0	 8
  3024 44.59916 10.25916 -9999   250	 7
  3025 44.59388 10.11444 -9999   350	 7
  3026 44.65833  9.58222 -9999   550	 7
  3027 44.49777 10.38916 -9999     0	 5
  3028 44.90694 10.54166 -9999     0	 6
  3074 44.93750 12.43611 -9999 -9999	-1
  3075 44.95805 12.33000 -9999 -9999	-1
  3076 45.02444 12.14833 -9999 -9999	-1
  3077 44.53055  9.20833 -9999 -9999	 7
  3078 44.34166 10.14027 -9999 -9999	 5
  3079 44.94527 12.29833 -9999 -9999	-1
  3080 44.51583  9.15555 -9999 -9999	 7
  3167 44.94138 11.41972 -9999     0	-1
  3168 45.10485  9.35010 -9999     0	-1
  3169 44.80833 10.32500 -9999     0	-1
  3170 44.81750  9.92361 -9999   150	-1
  3171 44.67722  9.90194 -9999   350	-1
  3172 44.50888  9.83916 -9999   353	 7
  3173 44.70916  9.56916 -9999   450	 7
  3174 44.48361 10.10416 -9999   550	-1
  3175 45.04804 10.75534 -9999     0	-1
  3177 44.64333  9.50000 -9999   650	-1
  3179 44.52472 10.35388 -9999   350	-1
  3181 44.65194 10.80138 -9999     0	-1
  3205 44.64777 10.59527 -9999     0	-1
  3776 44.50388  9.99250 -9999 -9999	-1
  3783 44.62638  9.40972 -9999 -9999	-1
  3785 44.81833  9.89694 -9999 -9999	-1
  3790 44.40861 10.35083   980 -9999	-1
  3794 44.86916  9.64583 -9999 -9999	-1
  3795 44.65194  9.81305 -9999 -9999	-1
  3798 44.47472  9.73777 -9999 -9999	-1
  3801 44.44444 10.60833   550 -9999	-1
  3802 44.46361  9.69666 -9999 -9999	-1
  5301 44.76638  9.39388 -9999   437	 7
  5302 45.14144  9.23095 -9999    62	-1
  5317 44.54861  9.44722 -9999  1322	 7
  5318 44.97625 10.41885 -9999    27	-1
  5321 44.93191 12.13791 -9999     8	-1
  5322 45.04821 10.75307 -9999    15	-1
  5323 44.73500 10.42777 -9999   120	-1
  5324 45.01165 11.31341 -9999    12	-1
  5325 45.02702 12.15135 -9999     5	-1
  5326 45.12925  9.99555 -9999    50	-1
  5327 44.86361 10.05000 -9999    75	-1
  5328 44.69138 10.08722 -9999   142	-1
  5329 44.43388 10.65944 -9999   250	-1
  5330 44.94588  8.69242 -9999   216	-1
  5331 45.30294  8.50928 -9999   121	-1
  5332 45.05805  9.70222 -9999    50	-1
  5333 44.96124 12.48293 -9999   -10	-1
  5334 44.95940 11.75031 -9999    10	-1
  5335 44.89444 11.61666 -9999     9	-1
  5336 44.46555 10.99805 -9999   230	-1
  5337 45.04720  8.63225 -9999    85	-1
  5338 44.65140 10.79580 -9999    53	-1
  5339 44.55722 11.00611 -9999     0	-1
  5340 44.74527 10.98611 -9999    27	-1
  5341 45.30369  9.55090 -9999    60	-1
  5362 45.14155  9.23025 -9999    55	-1
  5380 45.00433 11.28750    10    10	-1
  5381 44.67722  9.90194   267   267	-1
  5382 44.47777 10.05833   590   650	-1
  5385 44.26027 10.67500   990   990	 5
  5386 45.03383  8.81700    76    76	-1
  5387 45.17266  8.10300   266   266	-1
  5388 45.05533  8.90300    71    71	-1
  5390 45.10750 10.52600    24    24	-1
  5391 44.54416  9.61138   805   805	 7
  5392 44.19138 10.68166  1300  1300	 5
  5393 44.89444 11.61833     9     9	 4
  5394 45.69316  8.65066   218   218	-1
  5395 45.78500  9.43616   198   198	-1
  5396 45.63833  9.91950   224   224	-1
  5398 44.36333 10.10555  1347  1347	 5
  5400 44.31027 10.35666   940   940	 5
  5401 44.58055 10.32916   514   514	 5
  5402 44.40611  9.68222   741   741	 7
  5403 45.13666  8.43500   115   115	-1
  5404 44.91416  9.40250   400   400	 8
  5405 44.43416 10.03166   850   850	 7
  5406 44.81388  9.98388   170   170	 8
  5407 44.44194  9.47861   816   816	 7
  5408 44.57944 10.46444   726   726	 5
  5409 44.30277 10.42638   949   949	-1
  5410 44.34833 10.56944   340   340	 5
  5411 44.43388 10.65555   250 -9999	-1
  5412 44.34111  9.98861   830   830	 5
  5413 44.26750 10.94722   935   935	 5
  5414 44.35611 10.92416   483   483	 5
  5415 44.72500 11.04444    25    25	-1
  5416 44.63972  9.32888   457   457	 7
  5417 45.05861  9.70611    47    47	-1
  5418 45.12333  9.99083    47    47	-1
  5419 44.95555 11.75083    11    11	-1
  5420 44.93555 12.14416     5     5	-1
  5421 45.05000  8.62650    90    90	-1
  5422 44.40750 10.51805   342   342	 5
  5423 44.50666  9.98861   808   808	 7
  5424 44.36388 10.46166   680   680	 5
  5425 44.69638 10.33527    90    90	-1
  5426 44.61500  9.98638   246   246	-1
  5427 44.62194  9.73388   418   418	-1
  5433 44.54944 10.76722   123   123	-1
  5434 44.26861 10.82000   403   403	-1
  5435 44.37083 10.61111   337   337	-1
  5436 44.58555 10.96166    35 -9999	-1
  5437 44.77638 11.13027    20    20	-1
  5438 44.85027 10.96583    20    20	-1
  5442 44.41916 10.78750   791   791	 5
  5448 44.66472 10.99166    30    30	-1
  5462 44.47388 10.51777   609   609	 5
  5463 44.52027 10.69777   314   314	 5
  5464 44.41027 10.27222   785   785	 5
  5465 44.48472 10.44666   771   771	 5
  5466 44.49972 10.17944   989   989	 7
  5467 44.51638 10.27666   661   661	 7
  5468 44.43833 10.09277   996   996	 7
  5469 44.54361 10.03194   834   834	 7
  5470 44.79555  9.63333   618   618	 7
  5471 44.58694  9.48250  1135  1135	 7
  5472 44.63611  9.57944   885   885	 7
  5473 44.39722 10.46944   405   405	-1
  5475 44.44000 10.23583   500   500	-1
  5476 44.54611 10.38694   250   250	-1
  5477 44.61250 10.27333   265   265	-1
  5478 44.79000 10.31888    71    71	-1
  5480 44.96027  9.73777   113   113	-1
  5481 44.63472 10.17194   323   323	-1
  5482 44.76444  9.70944   670   670	 8
  5483 44.44750  9.61888   860   860	 7
  5484 44.73305 10.02333   440   440	 8
  5485 44.96444  9.44000   178   178	-1
  5486 45.05666  9.52916    75    75	-1
