B13001,Specific humidity,Kg/Kg,255,2,51,255,1.0,0.0
B13003,Relative humidity,Percent,255,1,1,0,1.0,0.0
B13003,Relative humidity,Percent,255,2,52,255,1.0,0.0
B13011,Total precipitation,Kg/m**2,255,1,52,0,1.0,0.0
B13011,Total precipitation,Kg/m**2,255,2,61,255,1.0,0.0
B13011,Total precipitation,m->Kg/m**2,98,128,228,255,1000.,0.0
B13031,Evaporation/Evapotranspiration,Kg/m**2,255,0,6,2,1.0,0.0
B13031,Evaporation/Evapotranspiration,Kg/m**2,255,1,40,0,1.0,0.0
B13033,Evaporation/Evapotranspiration,Kg/m**2,255,0,6,2,1.0,0.0
B13033,Evaporation/Evapotranspiration,Kg/m**2,255,1,40,0,1.0,0.0
B13130,Large scale snow (invented),Kg/m**2,98,128,144,255,1.0,0.0
B13130,Water equivalent of accumulated snow depth (invented),Kg/m**2,255,1,60,0,1.0,0.0
B13130,Water equivalent of accumulated snow depth (invented),Kg/m**2,255,2,65,255,1.0,0.0
B13192,Cloud liquid water content (invented),Kg/Kg,200,201,31,255,1.0,0.0
B13192,Cloud liquid water content (invented),Kg/Kg,78,201,31,255,1.0,0.0
B13193,Cloud ice content (invented),Kg/Kg,200,201,33,255,1.0,0.0
B13193,Cloud ice content (invented),Kg/Kg,78,201,33,255,1.0,0.0
B13194,Water equivalent of accumulated snow depth (invented),Kg/m**2,200,2,65,255,1.0,0.0
B13195,Precipitating liquid water (invented),Kg/Kg,200,201,35,255,1.0,0.0
B13195,Precipitating liquid water (invented),Kg/Kg,78,201,35,255,1.0,0.0
B13196,Precipitating ice (invented),Kg/Kg,200,201,36,255,1.0,0.0
B13196,Precipitating ice (invented),Kg/Kg,78,201,36,255,1.0,0.0
B13197,Total precipitating water+ice (invented),Kg/Kg,200,201,39,255,1.0,0.0
B13197,Total precipitating water+ice (invented),Kg/Kg,200,201,99,255,1.0,0.0
B13198,Total liquid water (cloud+precipitating; invented),Kg/Kg,200,2,150,255,1.0,0.0
B13199,Total ice (cloud+precipitating; invented),Kg/Kg,200,2,151,255,1.0,0.0
B13200,Grid-scale liquid precipitation,Kg/m**2,200,201,102,255,1.0,0.0
B13200,Grid-scale liquid precipitation,Kg/m**2,78,201,102,255,1.0,0.0
B13201,Grid-scale snowfall (invented),Kg/m**2,255,2,79,255,1.0,0.0
B13202,Convective liquid precipitation (invented),Kg/m**2,200,201,113,255,1.0,0.0
B13202,Convective liquid precipitation (invented),Kg/m**2,78,201,113,255,1.0,0.0
B13203,Convective snowfall (invented),Kg/m**2,255,2,78,255,1.0,0.0
B13204,Total convective precipitation(liquid+snow; invented),Kg/m**200,200,2,152,255,1.0,0.0
