     2 44.84000 11.28500    16    12	 6
     3 44.85861 11.65777     5     0	 4
     4 44.16638 12.26888    29    25	 2
     5 44.29523 11.61682    88    87	-1
     6 44.36748 11.90017    22    20	-1
     7 44.65472 11.62361    12    11	 4
     8 44.26194 11.32944   747   748	 3
     9 44.55081 11.10012    56    55	-1
    10 44.50444 11.00472    96    95	 5
    11 44.68583 10.29777   181   180	 7
  2281 44.33444 11.75111    53    53	 3
  2282 44.91666  9.88333    80    80	 8
  2283 44.96666  9.68333    90    90	 8
  2284 45.05000  9.90000    45    45	 8
  2285 44.98333  9.38333   289   289	 8
  2286 44.80888 10.27500    59    59	 7
  2977 44.78332 10.31667    66    64	-1
  2978 44.68333 10.30000   181   180	-1
  2979 44.40333 11.46333   350   336	 3
  2980 44.81500 12.25000     4     3	 4
  2981 44.88638 10.87555    24    22	 6
  2998 44.45055 12.20972 -9999 -9999	 2
  2999 44.45250 12.01750 -9999 -9999	 2
  3220 44.51667 11.00000    92    90	-1
